UNITID,INSTNM,ADDR,CITY,STABBR,WEBADDR,COUNTYNM,LONGTITUDE,LATITUDE
213543,Lehigh University,27 Memorial Drive West,Bethlehem,PA,www.lehigh.edu,"Northampton County, PA",-75.378887,40.607158
214777,Pennsylvania State University-Main Campus,201 Old Main,University Park,PA,www.psu.edu/,"Centre County, PA",-77.861644,40.800732
215062,University of Pennsylvania,34th and Spruce Streets,Philadelphia,PA,www.upenn.edu,"Philadelphia County, PA",-75.193618,39.951002
215293,University of Pittsburgh-Pittsburgh Campus,4200 Fifth Avenue,Pittsburgh,PA,www.pitt.edu,"Allegheny County, PA",-79.954692,40.444502
217156,Brown University,One Prospect Street,Providence,RI,www.brown.edu,"Providence County, RI",-71.404467,41.827605
221759,The University of Tennessee,527 Andy Holt Tower,Knoxville,TN,www.tennessee.edu,"Knox County, TN",-83.929696,35.955093
221999,Vanderbilt University,2101 West End Avenue,Nashville,TN,www.vanderbilt.edu,"Davidson County, TN",-86.804875,36.14443
227757,Rice University,6100 S Main,Houston,TX,www.rice.edu,"Harris County, TX",-95.403625,29.716485
227757,University of Texas at Austin,110 Inner Campus Drive,Austin,TX,https://www.utexas.edu,,-97.73792,30.28398
227757,University of Texas at Dallas,"800 W Campbell Rd,",Dallas,TX,http://www.utdallas.edu,,-96.751766,32.979737
228723,Texas A & M University-College Station,805 Rudder Tower,College Station,TX,www.tamu.edu,"Brazos County, TX",-96.306729,30.596292
230764,University of Utah,"201 Presidents Circle, ROOM 203",Salt Lake City,UT,www.utah.edu,"Salt Lake County, UT",-111.846044,40.762484
231174,University of Vermont,85 S Prospect St,Burlington,VT,www.uvm.edu,"Chittenden County, VT",-73.198128,44.479262
233921,Virginia Polytechnic Institute and State University,222 Burruss Hall,Blacksburg,VA,WWW.VT.EDU,"Montgomery County, VA",-80.434849,37.237477
234076,University of Virginia-Main Campus,1827 University Avenue,Charlottesville,VA,www.virginia.edu/,"Charlottesville city, VA",-78.502597,38.036548
236595,Seattle University,900 Broadway,Seattle,WA,www.seattleu.edu,"King County, WA",-122.3197,47.610138
236939,Washington State University,French Administration Building,Pullman,WA,wsu.edu/,"Whitman County, WA",-117.158168,46.730448
236948,University of Washington-Seattle Campus,1400 NE Campus Parkway,Seattle,WA,www.washington.edu,"King County, WA",-122.313115,47.656213
240444,University of Wisconsin-Madison,500 Lincoln Dr,Madison,WI,www.wisc.edu,"Dane County, WI",-89.405356,43.073858
243744,Stanford University, ,Stanford,CA,www.stanford.edu/,"Santa Clara County, CA",-122.182212,37.431746
243780,Purdue University-Main Campus,Hovde Hall of Administration,West Lafayette,IN,www.purdue.edu,"Tippecanoe County, IN",-86.914435,40.428206
445188,University of California-Merced,5200 North Lake Road,Merced,CA,www.ucmerced.edu,"Merced County, CA",-120.424944,37.366237
446978,Colorado State University-System Office,"410 17th Street, Suite 2440",Denver,CO,www.pres.colostate.edu,"Denver County, CO",-104.988532,39.744169
